ID,flag_1_2,flag_1_3,flag_1_4,flag_2_3,flag_2_4,flag_3_4,DTI,LTI,DSTI,LSTI
473,0,0,0,0,0,0,10.75541908,9.743360096,0.534817516,0.527012763
474,0,0,0,0,0,0,2.492926193,2.253427427,0.164800807,0.159768321
475,0,0,0,0,0,0,4.741579789,4.741579789,0.174118006,0.174118006
476,0,0,0,0,0,0,3.446612223,2.330836141,0.321515641,0.114774812
477,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
478,0,0,0,0,0,0,2.37239605,2.154960532,0.118350648,0.118350648
479,0,0,0,0,0,0,3.92920917,3.512489052,0.259555708,0.251958955
480,0,0,0,0,0,0,3.688541825,3.416776665,0.230273225,0.230273225
481,0,0,0,0,0,0,9.079696651,8.151037324,0.362023432,0.362023432
482,0,0,0,0,0,0,6.588562365,5.962140171,0.327440738,0.327440738
483,0,0,0,0,0,0,3.611193101,1.246226824,0.298464323,0.011839155
484,0,0,0,0,0,0,4.528383281,3.61875805,0.171681905,0.141735863
485,0,0,0,0,0,0,2.368329372,1.656614605,0.115669565,0.045932717
486,0,0,0,0,0,0,12.75022572,11.5457709,0.633480426,0.633480426
487,0,0,0,0,0,0,1.997939379,1.589577501,0.256336949,0.11039319
488,0,0,0,0,0,0,6.970105502,4.699512851,0.173660554,0.173660554
489,0,0,0,0,0,0,1.843831203,1.737185391,0.2059607,0.182168904
490,0,0,0,0,0,0,7.275360129,5.862947693,0.675861151,0.312180777
491,0,0,0,0,0,0,11.24989835,7.283932778,0.751301252,0.284944896
492,0,0,0,0,0,0,9.057684523,8.13600002,0.446829121,0.446829121
493,0,0,0,0,0,0,5.345044336,4.522615875,0.394009729,0.167465473
494,0,0,0,0,0,0,6.216470153,1.061105462,0.272894589,0.055385701
495,0,0,0,0,0,0,6.248388113,5.622863312,0.308807653,0.308807653
496,0,0,0,0,0,0,4.971025409,3.96509993,0.195685447,0.195685447
497,0,0,0,0,0,0,2.725998525,1.97106205,0.139489696,0.139489696
498,0,0,0,0,0,0,1.983175775,1.764503391,0.096909047,0.096909047
499,0,0,0,0,0,0,9.581357648,6.590625995,0.517824982,0.297368677
500,0,0,0,0,0,0,13.60899154,12.012581,0.522238429,0.522238429
501,0,0,0,0,0,0,6.902790525,4.784138409,0.918033839,0.254794753
502,0,0,0,0,0,0,3.136922778,2.604292812,0.101961189,0.101961189
503,0,0,0,0,0,0,13.09747561,6.59174471,0.32470268,0.287203085
504,0,0,0,0,0,0,9.379639611,5.077324318,0.380826185,0.208406885
505,0,0,0,0,0,0,38.3760652,30.49958412,1.611048273,1.330055856
506,0,0,0,0,0,0,17.76434362,14.50636919,0.587801738,0.570250217
507,0,0,0,0,0,0,3.754030718,3.401694406,0.247593051,0.240317886
508,0,0,0,0,0,0,6.439176506,4.667060854,0.209264305,0.19053951
509,0,0,0,0,0,0,2.305357592,2.07167289,0.537599115,0.217245978
510,0,0,0,0,0,0,3.331457199,2.788063603,0.243397953,0.118662775
511,0,0,0,0,0,0,5.350102169,4.346469014,0.218738425,0.158865024
512,0,0,0,0,0,0,4.359525248,3.411595825,0.204941904,0.15152892
513,0,0,0,0,0,0,5.844302373,5.186873654,0.276361775,0.276361775
514,0,0,0,0,0,0,3.337961351,2.679986403,0.164984557,0.164984557
515,0,0,0,0,0,0,4.56422348,4.149013576,0.238387924,0.231525973
516,0,0,0,0,0,0,6.267179177,5.274694102,0.390688125,0.279004756
517,0,0,0,0,0,0,12.01440633,9.530824111,0.375369396,0.375369396
518,0,0,0,0,0,0,4.301146641,3.721386533,0.142430954,0.137797834
519,0,0,0,0,0,0,7.006283097,6.078597881,0.346976093,0.346976093
520,0,0,0,0,0,0,7.907981783,6.939826815,0.261901561,0.253343798
521,0,0,0,0,0,0,2.370156733,2.370156733,0.181719293,0.181719293
522,0,0,0,0,0,0,1.904923925,1.723849372,0.076101864,0.076101864
523,0,0,0,0,0,0,6.30454966,5.555007834,0.231056186,0.231056186
